away,awayScore,date,gamePk,gameType,home,homeScore,season
Boston Bruins,4,2018-09-15,2018010001,PR,Calgary Flames,3,20182019
Washington Capitals,1,2018-09-16,2018010002,PR,Boston Bruins,2,20182019
Philadelphia Flyers,0,2018-09-16,2018010003,PR,New York Islanders,3,20182019
Arizona Coyotes,2,2018-09-16,2018010004,PR,Vegas Golden Knights,7,20182019
Nashville Predators,5,2018-09-17,2018010005,PR,Florida Panthers,0,20182019
Buffalo Sabres,4,2018-09-17,2018010006,PR,Columbus Blue Jackets,1,20182019
Nashville Predators,5,2018-09-17,2018010007,PR,Florida Panthers,3,20182019
New York Rangers,4,2018-09-17,2018010008,PR,New Jersey Devils,3,20182019
New York Islanders,1,2018-09-17,2018010009,PR,Philadelphia Flyers,3,20182019
New Jersey Devils,1,2018-09-17,2018010010,PR,Montréal Canadiens,3,20182019
Minnesota Wild,1,2018-09-17,2018010011,PR,Winnipeg Jets,2,20182019
Edmonton Oilers,7,2018-09-17,2018010012,PR,Calgary Flames,4,20182019
Pittsburgh Penguins,2,2018-09-18,2018010013,PR,Buffalo Sabres,3,20182019
Chicago Blackhawks,1,2018-09-18,2018010014,PR,Columbus Blue Jackets,4,20182019
Philadelphia Flyers,5,2018-09-18,2018010015,PR,New York Islanders,1,20182019
Boston Bruins,5,2018-09-18,2018010016,PR,Washington Capitals,2,20182019
Carolina Hurricanes,4,2018-09-18,2018010017,PR,Tampa Bay Lightning,1,20182019
Ottawa Senators,1,2018-09-18,2018010018,PR,Toronto Maple Leafs,4,20182019
St. Louis Blues,3,2018-09-18,2018010019,PR,Dallas Stars,5,20182019
Vegas Golden Knights,5,2018-09-18,2018010020,PR,Colorado Avalanche,1,20182019
Los Angeles Kings,2,2018-09-18,2018010021,PR,Arizona Coyotes,4,20182019
Arizona Coyotes,4,2018-09-18,2018010022,PR,Los Angeles Kings,3,20182019
Anaheim Ducks,1,2018-09-18,2018010023,PR,San Jose Sharks,4,20182019
Edmonton Oilers,4,2018-09-18,2018010024,PR,Vancouver Canucks,2,20182019
Calgary Flames,1,2018-09-19,2018010025,PR,Boston Bruins,3,20182019
Tampa Bay Lightning,1,2018-09-19,2018010026,PR,Carolina Hurricanes,6,20182019
Philadelphia Flyers,6,2018-09-19,2018010027,PR,New York Rangers,4,20182019
Pittsburgh Penguins,2,2018-09-19,2018010028,PR,Detroit Red Wings,3,20182019
Florida Panthers,5,2018-09-19,2018010029,PR,Montréal Canadiens,2,20182019
Toronto Maple Leafs,4,2018-09-19,2018010030,PR,Ottawa Senators,1,20182019
St. Louis Blues,3,2018-09-19,2018010031,PR,Minnesota Wild,2,20182019
Calgary Flames,4,2018-09-19,2018010032,PR,Vancouver Canucks,1,20182019
Washington Capitals,2,2018-09-20,2018010033,PR,Montréal Canadiens,5,20182019
New Jersey Devils,0,2018-09-20,2018010034,PR,New York Islanders,2,20182019
Chicago Blackhawks,2,2018-09-20,2018010035,PR,Detroit Red Wings,4,20182019
Dallas Stars,3,2018-09-20,2018010036,PR,Minnesota Wild,1,20182019
Winnipeg Jets,3,2018-09-20,2018010037,PR,Edmonton Oilers,7,20182019
San Jose Sharks,7,2018-09-20,2018010038,PR,Anaheim Ducks,3,20182019
Los Angeles Kings,3,2018-09-20,2018010039,PR,Vancouver Canucks,4,20182019
Vegas Golden Knights,7,2018-09-20,2018010040,PR,Los Angeles Kings,2,20182019
New York Islanders,3,2018-09-21,2018010041,PR,Philadelphia Flyers,2,20182019
Washington Capitals,1,2018-09-21,2018010042,PR,Carolina Hurricanes,5,20182019
Chicago Blackhawks,5,2018-09-21,2018010043,PR,Ottawa Senators,2,20182019
Buffalo Sabres,3,2018-09-21,2018010044,PR,Toronto Maple Leafs,5,20182019
Tampa Bay Lightning,5,2018-09-21,2018010045,PR,Nashville Predators,1,20182019
Columbus Blue Jackets,0,2018-09-21,2018010046,PR,St. Louis Blues,3,20182019
Calgary Flames,3,2018-09-21,2018010047,PR,Winnipeg Jets,4,20182019
Columbus Blue Jackets,3,2018-09-22,2018010048,PR,Pittsburgh Penguins,7,20182019
Colorado Avalanche,0,2018-09-22,2018010049,PR,Minnesota Wild,7,20182019
Toronto Maple Leafs,3,2018-09-22,2018010050,PR,Buffalo Sabres,2,20182019
Boston Bruins,3,2018-09-22,2018010051,PR,Detroit Red Wings,4,20182019
Ottawa Senators,2,2018-09-22,2018010052,PR,Montréal Canadiens,3,20182019
New York Rangers,2,2018-09-22,2018010053,PR,New York Islanders,5,20182019
Nashville Predators,2,2018-09-22,2018010054,PR,Tampa Bay Lightning,5,20182019
Florida Panthers,4,2018-09-22,2018010055,PR,Dallas Stars,3,20182019
Anaheim Ducks,1,2018-09-22,2018010056,PR,Arizona Coyotes,6,20182019
Vancouver Canucks,2,2018-09-22,2018010057,PR,Calgary Flames,5,20182019
Vegas Golden Knights,5,2018-09-22,2018010058,PR,San Jose Sharks,4,20182019
St. Louis Blues,5,2018-09-23,2018010059,PR,Columbus Blue Jackets,1,20182019
Detroit Red Wings,3,2018-09-23,2018010060,PR,Pittsburgh Penguins,2,20182019
Edmonton Oilers,3,2018-09-23,2018010061,PR,Winnipeg Jets,5,20182019
New Jersey Devils,3,2018-09-24,2018010062,PR,New York Rangers,4,20182019
Boston Bruins,4,2018-09-24,2018010063,PR,Philadelphia Flyers,3,20182019
Montréal Canadiens,5,2018-09-24,2018010064,PR,Toronto Maple Leafs,1,20182019
Minnesota Wild,3,2018-09-24,2018010065,PR,Dallas Stars,5,20182019
Winnipeg Jets,5,2018-09-24,2018010066,PR,Calgary Flames,4,20182019
Vancouver Canucks,1,2018-09-24,2018010067,PR,Los Angeles Kings,4,20182019
Arizona Coyotes,2,2018-09-24,2018010068,PR,Anaheim Ducks,4,20182019
Colorado Avalanche,5,2018-09-24,2018010069,PR,Vegas Golden Knights,3,20182019
Columbus Blue Jackets,3,2018-09-25,2018010070,PR,Buffalo Sabres,2,20182019
Florida Panthers,3,2018-09-25,2018010071,PR,Tampa Bay Lightning,2,20182019
Carolina Hurricanes,4,2018-09-25,2018010072,PR,Nashville Predators,1,20182019
Washington Capitals,4,2018-09-25,2018010073,PR,St. Louis Blues,0,20182019
Detroit Red Wings,8,2018-09-25,2018010074,PR,Chicago Blackhawks,6,20182019
San Jose Sharks,5,2018-09-25,2018010075,PR,Calgary Flames,7,20182019
Vancouver Canucks,0,2018-09-25,2018010076,PR,Edmonton Oilers,6,20182019
Detroit Red Wings,3,2018-09-26,2018010077,PR,Boston Bruins,2,20182019
New York Islanders,4,2018-09-26,2018010078,PR,New York Rangers,3,20182019
Buffalo Sabres,1,2018-09-26,2018010079,PR,Pittsburgh Penguins,5,20182019
Toronto Maple Leafs,5,2018-09-26,2018010080,PR,Montréal Canadiens,3,20182019
Winnipeg Jets,3,2018-09-26,2018010081,PR,Minnesota Wild,4,20182019
Dallas Stars,3,2018-09-26,2018010082,PR,Colorado Avalanche,1,20182019
Los Angeles Kings,4,2018-09-26,2018010083,PR,Anaheim Ducks,7,20182019
New York Rangers,4,2018-09-27,2018010084,PR,Philadelphia Flyers,2,20182019
Florida Panthers,2,2018-09-27,2018010085,PR,Tampa Bay Lightning,6,20182019
